temperature_2m,relative_humidity_2m,windspeed_10m,winddirection_10m,precipitation,cloudcover,surface_pressure,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,month,aqi_lag1,aqi_lag2,aqi_change_rate,aqi_rolling3,aqi_rolling6
29.2,91,4.3,204,0.0,100,994.4,2025-06-25 05:00:00,4,96.43,0.01,0.07,74.62,0.64,43.3,158.94,0.0,5,25,6,4.0,4.0,0.0,4.0,4.0
29.0,91,4.7,203,0.0,100,994.6,2025-06-25 06:00:00,4,96.25,0.01,0.07,73.69,0.63,42.49,158.84,0.0,6,25,6,4.0,4.0,0.0,4.0,4.0
29.2,90,5.9,194,0.0,62,995.1,2025-06-25 07:00:00,4,95.96,0.0,0.07,72.75,0.62,41.49,158.52,0.0,7,25,6,4.0,4.0,0.0,4.0,4.0
29.8,86,9.6,200,0.0,60,995.2,2025-06-25 08:00:00,4,95.38,0.0,0.07,71.63,0.61,40.45,158.36,0.0,8,25,6,4.0,4.0,0.0,4.0,4.0
30.5,81,11.9,194,0.0,76,995.4,2025-06-25 09:00:00,4,94.44,0.0,0.08,70.14,0.59,39.44,158.29,0.0,9,25,6,4.0,4.0,0.0,4.0,4.0
30.8,79,14.3,190,0.0,100,995.3,2025-06-25 10:00:00,4,93.64,0.0,0.09,68.56,0.58,38.72,159.23,0.0,10,25,6,4.0,4.0,0.0,4.0,4.0
31.7,74,12.3,187,0.0,91,996.2,2025-06-25 11:00:00,4,92.43,0.0,0.1,66.52,0.56,37.99,160.34,0.0,11,25,6,4.0,4.0,0.0,4.0,4.0
32.2,71,13.9,190,0.0,88,996.0,2025-06-25 12:00:00,4,90.84,0.0,0.1,64.19,0.55,37.41,161.78,0.0,12,25,6,4.0,4.0,0.0,4.0,4.0
32.5,70,14.6,190,0.0,100,995.7,2025-06-25 13:00:00,4,89.55,0.0,0.11,61.98,0.53,37.07,164.12,0.0,13,25,6,4.0,4.0,0.0,4.0,4.0
32.4,70,16.4,189,0.0,97,995.3,2025-06-25 14:00:00,4,88.73,0.0,0.11,60.45,0.52,37.01,167.12,0.0,14,25,6,4.0,4.0,0.0,4.0,4.0
32.1,72,17.0,186,0.0,100,994.9,2025-06-25 15:00:00,4,88.53,0.0,0.11,59.69,0.51,37.05,170.73,0.0,15,25,6,4.0,4.0,0.0,4.0,4.0
31.7,73,17.0,184,0.0,100,994.2,2025-06-25 16:00:00,4,88.5,0.0,0.1,59.4,0.5,37.45,175.96,0.0,16,25,6,4.0,4.0,0.0,4.0,4.0
31.3,77,16.5,170,0.0,98,994.8,2025-06-25 17:00:00,4,88.63,0.0,0.1,59.06,0.49,37.53,178.9,0.0,17,25,6,4.0,4.0,0.0,4.0,4.0
